AARS,AASS,AATK,ABCA10,ABCA2,ABCA6,ABCA8,ABCC1,ABCC6,ABCD1,ABCE1,ABCG5,ABHD1,ABHD10,ABHD3,ABHD6,ABR,ABRA,ABTB1,ACADM,ACBD5,ACCN2,ACE2,ACLY,ACO2,ACOT12,ACP5,ACR,ACSBG2,ACSL3,ACSM1,ACTG2,ACTL7A,ACTL8,ACTN4,ACTR3,ACTR6,ACVR1C,ACY1L2,ACYP1,ADAM12,ADAM17,ADAM20,ADAM28,ADAM32,ADAM3A,ADAMTS10,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS20,ADAMTS5,ADAMTS7,ADAMTSL4,ADAT1,ADCY8,ADH4,ADIPOR1,ADK,ADMR,ADORA3,ADPN,ADPRHL2,Label
0.405002,-0.180041,0.090213,-0.404675,-0.562374,0.344776,0.098182,0.428969,-0.232675,-0.864081,0.458405,-0.414457,0.065051,0.852684,-0.188,0.386991,0.02171,0.102448,-0.398153,0.603599,0.183366,0.074855,0.30571,0.86332,0.597139,0.116934,-0.088799,0.073976,-0.287067,0.475078,0.163483,-0.811846,-0.056217,0.784524,-1.141174,0.628558,0.959705,0.43242,-0.716949,0.283553,-0.161084,-0.392162,-0.026318,-1.171295,1.036607,-1.027649,-0.105741,-0.120322,-0.232988,-0.115559,-0.376531,0.054175,0.220098,-0.418593,0.893507,-0.365047,-0.388629,0.16316,0.144059,-0.491271,-0.485748,0.58909,-0.127429,0
1.459735,-1.467144,-0.882176,-0.849845,-1.278748,-0.699418,-0.890889,0.267169,0.077346,-0.980508,1.676638,-1.159895,-0.691356,1.514027,-0.795747,0.908099,-0.312979,-0.516466,0.109093,0.501449,-0.07051,-0.607025,0.074851,1.550978,0.623077,0.757349,-0.479254,-0.022924,-1.097666,1.374569,-0.741165,-0.904775,0.699115,1.055836,-1.887388,1.571958,1.596657,2.09677,-0.074674,0.82256,-0.847802,-0.272263,0.840264,-0.831957,0.671836,-0.51253,-0.731861,0.206321,-0.490904,0.631548,-0.905951,1.38036,1.062996,-2.221945,0.427677,-0.511928,-0.471755,0.684622,-0.815682,-0.944262,-1.2367,-2.916914,-0.255764,0
0.824,-0.065657,-0.534716,-0.669703,-0.744814,-0.436471,0.575327,0.22799,-0.720917,-1.160264,1.245004,-1.110512,-0.125549,1.048602,-0.524295,0.501254,0.569192,-0.73325,-0.220884,0.823482,0.341694,0.111475,-0.472481,0.978895,0.915356,0.882035,-0.160585,0.698195,-0.936987,1.000218,0.453694,-1.298459,-1.311033,1.504856,-0.949006,0.784965,0.388688,0.16743,0.472698,0.719541,-0.682674,-0.752216,2.071818,-2.188516,0.097257,-1.242732,-1.101061,-0.145509,-0.113954,0.655265,-1.167047,-0.331683,-0.416629,-0.435065,1.176711,0.625451,-0.799543,0.553711,-0.515993,-0.918804,-1.019599,0.718773,0.04633,0
0.549307,-0.322135,-1.223742,-0.376933,-1.044953,-0.03572,0.207026,-0.252613,-0.006375,-0.363316,1.301425,-0.627608,-1.191018,1.291519,-1.281425,1.836236,0.104357,0.066291,-0.700988,0.678971,1.0887,-0.292152,0.213745,0.77539,0.532768,1.437885,-0.963775,-0.065013,-0.849187,1.165863,-0.695372,-0.422811,-0.318942,2.369057,-1.099843,1.393571,1.791452,0.913026,-1.095758,0.517278,-0.768124,-0.513028,0.415982,1.566137,-0.198416,-0.730318,-0.213211,-0.154234,0.081936,0.288454,-0.773865,2.421699,0.482194,-0.865645,1.02664,-1.127506,-0.537515,0.968913,-0.619214,-1.013283,-1.059487,-0.045572,-0.830625,0
0.37173,0.372324,-0.669513,-0.209247,-0.810271,0.03615,-0.063125,0.74179,-1.078482,-1.240176,1.218962,-1.160374,0.355714,1.541764,-0.353257,1.876938,-0.83527,-0.666228,-0.196122,1.542488,1.54958,-0.453111,-0.811029,1.117261,0.840448,0.572188,-0.601698,-0.353741,-1.584124,1.399024,-0.718719,-0.596788,-1.138547,0.218371,-1.066665,1.3073,1.177577,1.695141,-0.730961,0.009247,-1.44638,0.127937,-0.596601,0.268267,0.5939,-0.545126,-1.206124,0.50026,-0.927895,0.797372,-1.063991,1.698841,-0.209078,-0.715376,0.697418,-1.071921,-1.212413,1.547403,-1.383208,-1.647611,-0.157815,0.660405,0.214074,0
-0.461892,-0.099826,-0.82314,0.229574,-1.2685,-0.93406,-0.130396,-1.137554,-0.070871,-1.544882,1.885038,-1.062047,-0.759987,1.415779,1.120821,0.80276,-0.135474,0.96858,-1.097404,0.624845,1.023667,-0.339129,0.118,0.897083,0.475871,1.084137,-0.355646,-0.23437,-0.882823,1.497046,0.005349,-0.708734,-1.792903,1.331288,-1.029591,1.422178,1.618166,2.162155,-1.774465,-0.340086,-1.149129,-0.585263,0.96741,1.27176,-0.02564,-0.788446,-0.553304,-0.119921,-0.145196,-0.387259,-0.737187,1.744422,1.521385,-1.37405,0.380529,-0.057886,0.07773,0.643602,-1.892471,-0.940828,-0.345567,-0.431567,-1.196513,0
-0.755776,0.35035,0.072362,-0.290111,-0.397352,-0.314905,0.507513,0.05028,0.312044,-0.709247,1.039434,-0.70409,0.471898,0.839889,0.31474,0.803841,-0.322516,0.240433,-0.724565,0.931703,0.77098,0.132151,-0.280287,0.655237,0.607009,-0.283963,-1.347698,-0.048669,-0.993098,0.891883,-0.566766,-0.19162,-0.085669,0.697802,-1.126897,0.658966,0.766882,1.038643,-0.06933,0.401312,-0.835151,0.637619,0.10267,-0.765179,0.869934,-1.111306,-0.429379,-0.439989,-0.349619,1.779382,-0.455288,1.432963,0.726386,-0.792973,1.045038,-0.520184,-0.818756,0.06891,-0.025679,-0.593214,-0.61632,-0.395148,-0.320309,0
0.622989,-0.956214,-1.63851,0.413491,-1.916903,-0.601174,-3.110907,-0.128992,0.531282,-0.703786,0.593092,-0.759912,-0.060679,0.881092,-0.705854,0.492395,0.524603,1.316033,0.130529,0.102932,0.822025,-0.048319,0.219874,0.947681,1.077049,-0.468149,-0.6368,0.352455,-1.076704,0.958735,0.099228,0.523973,0.126978,1.234058,-0.244846,1.075255,0.308073,0.927905,-0.703795,-0.710619,-0.026095,-0.086959,1.323264,-2.160409,0.627303,-0.737509,0.092635,0.358226,0.284759,0.138746,-0.348989,0.729491,1.167689,-1.960043,0.638317,-1.108774,0.037725,0.229749,-0.141457,-0.380008,-1.222819,0.608197,-1.723961,0
-0.335593,0.66541,0.867141,-2.590816,0.221266,-0.102407,-0.323909,0.285234,0.283887,0.394579,-0.025644,0.312777,0.633556,-0.370018,-0.94057,-0.421163,1.576074,1.036633,-0.267871,-0.400293,0.062538,0.459756,-0.290243,0.284804,0.748679,1.049953,-0.640655,-0.172772,-0.250686,-0.356838,-1.453276,1.1,-0.556342,0.784329,-0.391716,-0.351192,-0.193927,-1.32579,-1.539514,-0.450082,0.426659,-1.876586,-0.187128,-0.385732,0.527778,-0.533822,-1.601525,0.083906,0.553735,-0.150582,0.093928,-0.746292,-0.340551,-0.714664,0.079858,0.690174,0.226049,0.630396,-0.624412,-0.062294,-0.067079,0.586807,-0.3347,0
0.896246,-0.554948,-1.042782,0.046799,-1.356979,-0.087517,-1.105378,0.873097,-0.288616,-0.716638,0.795437,-0.346904,-0.18341,1.270189,-0.805193,1.307076,-0.080751,0.740688,-0.04126,0.961091,0.831789,-0.09031,-0.087404,1.525963,0.847305,0.706243,-1.063066,0.800938,-1.034558,1.701476,0.330708,-1.142504,-0.071759,1.10389,-0.793472,1.304634,1.004074,1.68924,-1.201844,0.009169,-1.051027,0.132746,-0.388936,-0.373123,0.613918,-0.856056,-0.469507,-0.052617,-0.472386,0.770952,-0.825879,1.230065,-0.5623,-0.516342,0.688817,-0.102983,-0.078047,0.865091,-0.729396,-0.908161,-0.665747,0.227535,-1.365488,0
-0.620711,0.521278,-0.791945,-0.213762,-0.495382,0.338753,-0.679241,0.989378,0.342985,-0.488975,1.248929,0.140257,-0.304568,0.694402,-0.466964,0.312974,0.783792,0.77233,-0.441375,0.367824,0.573256,-0.304895,-0.286238,0.759787,0.637861,-0.475121,-1.446368,0.384711,-0.541093,0.778392,-0.182462,-1.004528,-0.250383,-0.051078,-0.451711,0.173338,0.568338,-0.228191,-0.569088,-0.960949,-0.405383,-1.136517,0.174347,-1.904864,0.949179,-0.636678,-0.624468,0.550277,0.108914,1.124682,-1.263614,-1.036119,0.673012,-0.641147,0.545701,-0.023849,-0.58396,0.862175,-0.059893,-0.130548,-0.612109,0.367271,0.234071,0
-0.822491,0.059338,0.54372,0.120908,-0.177792,0.075288,0.145933,0.100828,0.903243,-0.402773,0.383254,-0.393354,0.084882,-0.31546,-0.429481,-0.325942,1.069643,1.539853,-0.718816,0.816493,0.216972,0.604516,1.303413,0.216387,0.537265,-1.282872,-0.526824,0.128159,0.860073,0.021812,0.063813,-1.09482,-0.932758,0.994897,0.183995,-0.176874,0.852723,-1.096268,-0.801217,0.225628,0.524009,-1.025971,2.070617,0.173519,1.546773,0.478662,0.022304,0.047694,1.146412,0.119844,0.082435,-1.824277,0.543417,-0.83832,0.664718,0.3229,0.500504,-0.084532,0.613312,0.580319,-1.295527,0.822411,0.154268,0
0.072388,0.911399,-0.761132,-0.347323,-0.561117,-0.054599,0.916787,-0.710527,-1.209365,-1.368206,1.450203,-1.153021,-0.089764,1.463333,-0.738509,1.114453,-0.443299,-0.861715,-0.477985,0.266361,0.992157,-0.518273,-2.077757,0.471176,-0.175682,1.05639,-0.487122,-0.347039,-0.803002,1.674522,-0.608459,-0.913685,0.711647,1.956485,-0.959983,0.808296,1.38736,1.77589,-0.324265,-0.39573,-1.69241,0.933947,-1.735911,-0.03782,-1.059603,-1.250623,-0.762858,-0.262136,0.786947,2.000138,-1.494237,0.950618,-0.097456,-0.749716,0.560867,-0.706701,-1.135563,1.161934,-0.280072,-1.157154,0.169049,0.574073,-0.87346,0
